"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"20",20,16,2.66210189660143,1.53281439786499,2.39760250437469,1.50667102680854,2.21659984322172,1.49954820328734,0.236337288748008,0.553627446717781,1.04517254978187,2.82905072826381,0.235940742611755,0.550022599033503
"21",20,16,1.69644193786787,1.48904181267574,1.31952914489302,1.42239026714479,1.13405818459746,1.35010226340848,1.60209233577191,1.4753525986849,0.589311705379345,1.34152783798285,0.486829943998777,1.04713323965723
"22",20,16,1.33910867872669,1.46431388846187,1.31634043582306,1.45853019561976,1.18786267400683,1.42544169688472,1.44799200673159,1.49634213353657,1.0254057947729,2.14582365423546,0.24753424430973,0.69975470672264
"23",20,16,1.46940467539595,1.38096366971529,1.43639990611667,1.37335004137552,1.42619512097744,1.37150900519466,1.63877999614574,1.40726730359571,0.55570458072908,1.24284135436396,0.470016594689104,0.955414975821401
"24",20,16,1.68153465506346,1.56223139403806,1.59766414911046,1.552201346023,1.58140514163935,1.54964371349604,0.155638000202447,0.355645179013029,0.696569202905083,3.15277035479648,0.155690654620576,0.351856002316398
"25",20,16,2.13910827081789,1.65211207076036,1.49004165692747,1.55095253238139,1.22024142947255,1.49219169158891,1.41021281580875,1.50546628288298,1.33283850750179,1.87339680434784,0.502871572174152,1.1248596998162
"26",20,16,1.5727646912721,1.46293190749011,1.56430770868477,1.46158541593683,1.39638770715917,1.42721732829988,0.315181350302581,0.798008656085324,1.0940044726338,2.86305596431094,0.281475174725716,0.725837279444127
"27",20,16,2.83551554229613,1.60555453562905,2.71888344927371,1.59611460559604,2.25368517731293,1.54533508807485,0.311828076513787,0.77652728008452,1.07353141296012,1.88564285032089,0.303367080651504,0.753095599514332
"28",20,16,1.18351830597955,1.40768404140186,1.17509860097144,1.40578214029426,1.17509860097144,1.40578214029426,1.23729369702944,1.42692836041503,0.748671389056238,1.40941556466411,0.685396330971143,1.2305013066836
"29",20,16,1.24348274385319,1.47435602521309,1.20314805523685,1.46401661772244,1.20314805523685,1.46401661772244,1.30282176708423,1.48160097102281,2.48026559731616,2.66657251138124,0.730161443359808,1.2920530885364
"30",20,16,2.96717478089208,1.52054258165447,1.77487793329326,1.38156793607409,1.67864658476811,1.36032705429065,0.522810877889342,0.96210453234811,0.670856524918461,1.28753692101463,0.504899554101882,0.951697016350917
"31",20,16,3.17373073245613,1.63876859506984,3.08596779613982,1.63416926448213,2.9100389890838,1.6237610788083,0.221789935020732,0.566443588144613,0.346747319826803,1.17227940048882,0.225451946357582,0.578002912166854
"32",20,16,2.63638250405826,1.42826655202331,0.76331020135667,1.11011315187968,0.748455743385691,1.10008433582498,0.521050048987253,0.939510623852416,0.628679322245935,1.22405223296707,0.489714696866776,0.919124858974668
"33",20,16,1.36000329369005,1.38195447246576,1.34452557803633,1.37729845660072,1.34283830526933,1.37678602981837,1.55918811034717,1.42896142043119,0.96082914465771,1.44180188603778,0.826408003776435,1.24457183259633
"34",20,16,2.20435645945782,1.58871076516555,2.20435645945782,1.58871076516555,2.08717696230751,1.5736583768895,0.388088157368133,0.960901652254208,0.865715508009802,1.73893239835196,0.360903992846912,0.918587360886898
"35",20,16,0.966599519507759,1.23336854687148,0.966599519507759,1.23336854687148,0.941102621132804,1.22618446648381,1.22717960509419,1.31098042866399,1.18197158562176,2.75749969547367,0.319915444011816,0.731753411648689
"36",20,16,0.879432845445192,1.30150331892466,0.864580425866952,1.29481562314872,0.85713545380422,1.29133511586131,0.950183923532632,1.31647723384423,2.44017837209685,2.01092757856823,0.626000321207469,1.16193836427846
"37",20,16,2.49815970515753,1.59104170606861,1.91825110396317,1.53319077698844,1.89925363941865,1.53051100693605,0.327403963953044,0.823721774464896,0.7519396659772,1.65904540900101,0.31335325469514,0.793695410701538
"38",20,16,4.50972326484325,1.65176189266896,3.92428630049257,1.62205802133472,3.61567885127901,1.60206618352237,0.718492595643208,1.16886171266054,0.844203683046374,1.40588826234609,0.674661168477135,1.14103299018498
"39",20,16,1.15677188957758,1.39290083388083,1.13621339700542,1.38691371571893,0.900888402308345,1.29070814705482,1.26003518596565,1.43245932114623,0.581668509967165,1.36065256851248,0.481363062296304,1.0717122933547
"40",20,16,1.39816123227255,1.39942652563258,1.39816123227255,1.39942652563258,1.35570697695743,1.3888255904136,1.74796470331573,1.48619969784257,0.506810175864562,1.28804995344078,0.405134674753711,0.943464748750903
"41",20,16,1.56679661754098,1.42548394556433,1.42562179050502,1.39238866157147,1.39174544724011,1.3837068944807,1.71320894887625,1.45463133010178,0.556648931654372,1.28019449915999,0.469713689445648,0.990884492595658
"42",20,16,3.57547171299888,1.68623464827361,3.47937642794443,1.68120981329712,2.8865866674202,1.63912025714924,3.27863893381437,1.66451894168469,0.850556852036526,1.47924259203639,0.702570786612009,1.23306014072968
"43",20,16,1.91534347968852,1.47940388686096,1.8272031810023,1.46760302950285,1.77563539763936,1.458419101505,2.12246121846151,1.49456172596248,1.73105789317997,1.72942510108878,0.78990180006544,1.2043399286893
"44",20,16,2.70353787378622,1.70974057890806,2.12576212330647,1.65652705239541,1.91420444606336,1.62501208653877,0.583898378416868,1.22935960982025,0.645561936389526,1.47494351116369,0.529075335919634,1.18647296245972
"45",20,16,4.21840481577554,1.4945335571886,4.07953280267319,1.48953123687988,3.70218857751311,1.47563699464173,0.577463112979796,0.938147744225599,0.727852771237142,1.2397833000146,0.552716669775664,0.919868998622406
"46",20,16,1.47674295823109,1.4826707900916,1.46048864935418,1.47971002645452,1.42809473452038,1.47365934320037,1.64588685624682,1.49119521593284,1.09167852878773,1.48415130364865,1.02037954919513,1.35623318731181
"47",20,16,1.51854373478149,1.52864418036231,1.41213072489276,1.50622508552891,1.23126368112947,1.45839471426194,1.52098400196182,1.52083354406797,1.70073252229084,2.76853432190471,0.474011452288464,1.09374713841343
"48",20,16,1.17338381418693,1.3223118255582,1.10244488474262,1.29069192258792,1.01463879213218,1.2579672353736,0.209364647330795,0.467424345262386,0.856243555227979,2.93151150053736,0.205962178999466,0.461280564620246
"49",20,16,2.45861217642535,1.68949059084406,2.42864580814617,1.68689442048051,2.23347449014559,1.66832861202155,0.53707217441058,1.19597084060506,0.593213943429286,1.45085905108614,0.481855785555895,1.14261454295781
"50",20,16,0.810044074133072,1.3638328392449,0.810044074133072,1.3638328392449,0.810044074133072,1.3638328392449,0.940904285595439,1.41428083907641,1.63400300018548,2.84154117972939,0.481218296056823,1.14727569032214
