"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"15",20,20,1.60533646515463,1.36634109043362,1.53912302406549,1.35296899096705,1.49062506685043,1.34447308590721,1.41520143131403,1.32850057339803,2.0692303910273,1.49111507279958,1.51742299165751,1.36861323014349
"16",20,20,2.05695478472908,1.580126771315,1.74161512718713,1.52702025202416,1.73808066531148,1.52599431759413,1.80450270217832,1.54015403104034,2.1113761050543,1.59399354916604,1.79708955539572,1.5376548041548
"17",20,20,3.97730281126916,1.69851379519218,3.25622234468943,1.67234938969447,2.6786588728187,1.62960639167936,1.00489886717124,1.33079280203712,1.99047712680767,1.62433929700346,0.980272644028796,1.31509722424887
"18",20,20,2.07837148753247,1.45921721973082,1.8802723514804,1.4376018511582,1.84690022823209,1.43385066302391,2.2510363630168,1.4716971371827,1.93288785538662,1.4467897662751,1.59342215752883,1.37843825491
"19",20,20,3.4632977925777,1.56862717295988,3.4174366180982,1.56413135169211,3.50035191216805,1.57185099016293,3.3956601157463,1.56026482521939,4.04859968640181,1.60379370639755,3.43333265414502,1.56193664253454
"20",20,20,2.3100274492827,1.54508042799987,2.26483371990524,1.53977351347659,2.19714564839836,1.53341895260202,2.33658124808546,1.54132451876403,1.85096665232431,1.52140406823128,1.23339663407065,1.35353229385815
"21",20,20,1.52414697367195,1.44449962108794,1.40421742007087,1.42545783666669,1.46067412225094,1.4349519463275,1.46094307825019,1.41635380199092,4.12193460070982,1.81466022999785,1.45373585482935,1.41188127894434
"22",20,20,2.70071405787325,1.52912986828543,2.52253199662301,1.51030174125555,2.45596800336959,1.50352497318072,2.11081572501183,1.47348395466972,2.46073968123747,1.5074399940102,2.15983404999351,1.46991726312165
"23",20,20,2.7703630945093,1.48441078498697,2.7703630945093,1.48441078498697,2.77320415250676,1.48460619314701,2.75554903504545,1.48574097169513,3.2048327395857,1.52887067719094,2.77500078332078,1.48877410250064
"24",20,20,4.23334080687213,1.59922001135211,4.18566129681823,1.59715632097693,4.18566129681823,1.59715632097693,3.85833950574756,1.58221906653056,4.01465781806379,1.56921846417388,4.4002987792491,1.60006893554994
"25",20,20,3.63860031709017,1.5803522208957,3.63860031709017,1.5803522208957,3.58947103832694,1.57704800538912,3.85890421367968,1.58762148129122,4.76860766039881,1.63421243160168,4.00729728194903,1.59373626595551
"26",20,20,1.410297567263,1.57825020579481,1.37370942279038,1.56577077170488,1.37370942279038,1.56577077170488,1.30984464717164,1.54418064250524,2.35691470258085,1.79247144499063,1.27620001791464,1.53140847143093
"27",20,20,1.81152291325639,1.47279539708557,1.5797324167458,1.41593735665479,1.49398478017542,1.39286720189272,1.87557265589942,1.47554769819964,2.12257235841025,1.56595560110371,1.32899978931554,1.37599568116046
