"","RE1","RE2","RE3","RE4","RE5","RE6"
"1",0.828303203830011,0.775563782516992,0.263860687874022,1,0.633200621710428,0.438464914817844
"2",1.04878919625279,0.920119120052948,0.328568502541318,1.19385098608265,0.753203782568162,0.570425423658116
"3",0.592841084656239,0.87345739482586,0.645191575404248,0.469807635416403,0.793550256758695,0.614103286768491
"4",0.144855892700419,0.936900914426257,0.0703463531229395,0.155199246355797,0.853564526452884,0.633410106995879
"5",0.0236913547483714,0.82040267795361,0.00945534027565382,0.0597577067874514,0.873409536345182,0.617709608501765
"6",0.0257336600808888,0.767627981853199,0.00203420013470131,0.0382564806342322,0.887334537183665,0.578226419022338
"7",0.0252920648370551,0.538979568335787,0.000905795906807169,0.0279040266007702,0.854462860740657,0.666960855502237
"8",0.0218354159971937,0.250982432082403,0.00104553460049077,0.0229734373378402,0.891330844638765,0.607438595743418
"9",0.0222264715996442,0.0347488181046742,0.00128687409959624,0.0220651856733478,0.867259182429961,0.651680859296681
"10",0.020177303938198,0.0119801490155124,0.001772829644617,0.018990703748779,0.840887054403565,0.637300269621797
"11",0.0173985092916413,0.002460340286572,0.00183765799385504,0.0158776963235279,0.759707447672195,0.568683288683158
"12",0.0191421073383339,0.000869483516007169,0.00284465156289418,0.016653396029616,0.921933301706522,0.564137051666383
"13",0.015055076816356,0.000321462407734485,0.0038285321964157,0.012941655149724,0.755712838204413,0.566726516736162
"14",0.0166558639868513,0.000204326869742346,0.00696150446244032,0.0139208865268872,0.85898121905172,0.62480764340968
"15",0.015089901516881,0.000147577220215483,0.00421325308558421,0.0126708896599258,0.802710880314951,0.648198786592505
"16",0.0120199052113447,0.000108663417659689,0.00527021693604408,0.0101208603179176,0.613763363941839,0.547325321148778
"17",0.0124134430233191,0.000122606312245667,0.00317039528148796,0.0103387449119334,0.708087404325992,0.555535506094492
"18",0.0127455629899324,0.000169824222898088,0.00499533539538041,0.0105383077089392,0.727202348139528,0.515036945734653
"19",0.0136994058576972,0.000272155528257655,0.00754628408254637,0.011214068529054,0.749103662930415,0.67988461449732
"20",0.013649291514336,0.000298823722010806,0.0116440421218042,0.0112014267631579,0.74866015046795,0.699787658692059
"21",0.0115563493195341,0.000573122085348449,0.0059494961862682,0.00934829321135861,0.63189953208416,0.689051824306356
"22",0.0110971260782916,0.000657262275449387,0.00333303523166272,0.00897323299748415,0.565869174570234,0.652502895984535
"23",0.0127437673677174,0.000859586533978352,0.00258667274977923,0.0101123933212663,0.602686569859855,0.569897311505932
"24",0.0120089300713079,0.00125340765394015,0.00252915682315741,0.00953410237475201,0.776091194674062,0.749467127780741
"25",0.0115571958894679,0.00117009190105069,0.00334626080701322,0.00929364384163847,0.598472866007336,0.727897980340064
