"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"11",20,16,6.75734042656488,1.70703406578226,5.92618954505154,1.68905513891624,5.92618954505154,1.68905513891624,6.09109085849452,1.69348350515921,3.47336794557811,1.57921985948864,4.00267483786438,1.61225575791013
"12",20,16,2.44892406555024,1.40015923992844,2.36459028706783,1.39378448935482,2.17099754496013,1.37556364098177,1.85872445995119,1.34682790018864,2.47485714714955,1.47637022044784,1.84327410086342,1.34626042436072
"13",20,16,2.50327465833765,1.53072368006088,2.45624080178226,1.52666076420921,2.45666019022015,1.52669750691488,2.35245756973335,1.51584266846014,2.65118321020855,1.56393966192845,2.35275377545349,1.51562509125776
"14",20,16,1.89893793814328,1.44754306023824,1.89893793814328,1.44754306023824,1.89893793814328,1.44754306023824,1.91613931515057,1.4439875327983,2.41925080365238,1.54558982629019,1.92418510365734,1.44433923947243
"15",20,16,1.53688611962394,1.39787652960412,1.4530225673663,1.38630036853104,0.970263002315368,1.25979082442492,0.952742135776013,1.27158851886448,1.59804672316766,1.51185428357198,0.978145569105602,1.2850424722518
"16",20,16,3.30206000171531,1.56753110145799,3.4076572082757,1.57481199529641,3.49462148471985,1.58055866981177,3.66784317771761,1.59279481330123,4.7388411581836,1.66538108754138,3.64041491309949,1.59017420862105
"17",20,16,1.8766193003536,1.50339200841298,1.78091887224857,1.49037139103292,1.70696766589404,1.4832824504846,1.61923780312218,1.46153780013026,2.07826912499813,1.55966629799241,1.64526371395838,1.46689750937899
"18",20,16,1.47865813322534,1.33130172298684,1.47865813322534,1.33130172298684,1.47865813322534,1.33130172298684,1.54386043165616,1.34168291588243,1.79630684568228,1.42042541291753,1.53208858718536,1.33718365263223
"19",20,16,2.04740470641883,1.37982726603356,1.96169376617324,1.36370596568787,1.96169376617324,1.36370596568787,1.94313396148143,1.36932979249402,2.49590655845629,1.45372687958828,1.93525580084581,1.36932312690927
"20",20,16,1.6988492302863,1.38489569328622,1.67857284415848,1.38144553550044,1.62254616091394,1.3721876755095,1.48559907449867,1.35131752756811,6.5236433440984,1.74086132182369,1.70502389731075,1.37993789380333
"21",20,16,1.92827349280186,1.41347609597337,1.85148370613228,1.39958719506176,1.85148370613228,1.39958719506176,1.96151382939992,1.42865141652322,2.69849686517409,1.54507587070984,1.98012247110305,1.4317418603464
"22",20,16,1.64052275720648,1.46923864518153,1.60812647521492,1.46253354174846,1.66482205795373,1.47413892452108,1.67494294919821,1.47211336807945,2.0138560275278,1.56729534753104,1.66478678249923,1.4703390402244
"23",20,16,5.10628875850009,1.63562449411821,5.10628875850009,1.63562449411821,4.94669409095635,1.62901743505533,5.02515202528679,1.63668393541627,8.34076474526341,1.74639877491231,3.95486133716719,1.58795561359422
