"","mse1","mse2","mse3","mse4","mse5","mse6"
"1",0.00395812059167811,0.00422300626089154,0.0126418970485689,0.00372232914496737,0.00465352240913067,0.00577974339451179
"2",0.00332134990148141,0.0042279745922343,0.00963253709759196,0.00267969847940695,0.00507101212182799,0.00733462075305001
"3",0.00643711584187532,0.00378557976486992,0.00776732107892137,0.00763209271511714,0.00417835773155404,0.00580104408336911
"4",0.0323421384339611,0.00473010659018639,0.0568352794522925,0.0278461845800041,0.00519883227989524,0.00691743642847866
"5",0.164295309673627,0.00465969091798822,0.43350071752687,0.0596810654273291,0.00489824062696442,0.00679997936325074
"6",0.119614658785516,0.00537158558777006,1.81203542445759,0.0910701845894109,0.00460355977806785,0.00642060602774206
"7",0.150450372548265,0.00607142220147062,3.78416918382675,0.135919345596365,0.00456205221784871,0.00653919922233232
"8",0.169594721360109,0.0230138364791818,3.57913413587297,0.160691340234875,0.00477390630071413,0.00581369753172616
"9",0.177068794040584,0.088467755313283,3.21679693079606,0.176944869288117,0.00458970785689623,0.00616896623085991
"10",0.193994405101511,0.306237175655768,2.06743672412576,0.205675611584297,0.00501543433585673,0.00603693448015914
"11",0.240012814647904,1.58831175872557,1.80794145746474,0.26233382829306,0.0045481400948581,0.00681961268939046
"12",0.238016305409168,4.76389887637277,1.01719559894378,0.267760250782099,0.0047099216365444,0.00621984866104876
"13",0.234146989248485,10.475258725223,1.10764155815362,0.269502106577028,0.00405806971426695,0.00545696179786138
"14",0.254107647589985,18.560234382136,0.900614465149267,0.298841555757418,0.00418509715220373,0.00489917671078131
"15",0.261286290517851,25.4038369771216,0.686718439627174,0.304043721385957,0.00506927386001007,0.00515320561039515
"16",0.26524748931312,28.0870332936776,0.610783132062925,0.322363128797757,0.00538238968535158,0.00551833382622632
"17",0.30426683287088,28.921529553713,0.736953621962952,0.364811984467776,0.0060369787089464,0.00636563480525543
"18",0.297756848177881,21.3015093785799,0.605948884765634,0.359334596963116,0.00486347138243053,0.00494213387523157
"19",0.311783790965617,16.5526350709156,0.518579476416174,0.38266082216567,0.00597433753560447,0.00637958176241518
"20",0.296866313016797,10.6892877461892,0.652145682153728,0.360119913355646,0.00539647956263185,0.00583358347800619
"21",0.313319458586974,7.1559009756434,0.652840600666537,0.387645940721604,0.00526968649573266,0.00558863786159071
"22",0.314959789338941,6.81253665394763,1.12902734273458,0.385864792868383,0.00607422688666265,0.0059011917111268
"23",0.309937585778754,5.37859091950563,1.16301230713822,0.38313234972815,0.00616682990161895,0.00582236118180463
"24",0.321543639981958,3.20711491781142,1.38051860348726,0.400538213821774,0.00534173965417289,0.00472506816591206
"25",0.288993717322283,3.02281832006819,1.60570808561512,0.364814040631886,0.00568493020441653,0.00472179782272844
"26",0.351906470591513,3.60770395722874,1.18956986359829,0.44139066094668,0.0060265171408416,0.00561577404113874
"27",0.315563187938047,3.35976956125144,1.60917941585999,0.39577829483881,0.00618918008311903,0.00536132654177318
"28",0.331749225743392,3.57004199483673,2.23096524105477,0.420413482554162,0.00717839209009044,0.00742503752415259
"29",0.340464841189678,3.10639025890865,1.82833256588739,0.431386073013196,0.00603188764553176,0.00699526127473956
"30",0.379855433113461,3.58966704685927,2.43566483932727,0.481362685898187,0.0074581414783186,0.00759339160951406
"31",0.341971296176376,3.20590524055948,3.41485202445941,0.437002482860544,0.00753672424209341,0.00527533992424505
"32",0.337689953212526,3.08769731351883,3.01668472801992,0.431084485378831,0.00737718023219484,0.00543030857391959
"33",0.368187089263301,2.89358684180353,3.54744071275541,0.463462427663074,0.00688542312611361,0.00679194793763499
"34",0.34365559972626,2.61301528331717,3.61858537021017,0.441991431367225,0.00709380241963016,0.00457861699683579
"35",0.366637957521933,2.63648625266777,2.29847562998919,0.468530495055147,0.00787666020224671,0.00512368000202666
"36",0.341181237199816,2.11828524629748,1.86263970762214,0.434614188633869,0.00764053169735103,0.00614920639732158
